id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
70335557 16.4552 0.0 0.0698999986052513 746.13623046875 812.14501953125 312.756706 44.260887 0.002997661 512.0 15.5739 7009 V V 2458375.62923611 31 39 "[118] IC5070_incl_201_V2492Cyg" 7023
66846050 14.3054 0.0814748927950859 0.0044999998062849 314.311401367188 484.658111572266 312.756634 44.260888 0.003889271 0.0 12.1307 5847 I INFRARED 2458331.56969907 39 67 "[118] IC5070_incl_201_V2492Cyg" 4667
69895756 17.8618 0.14735047519207 0.0566000007092953 2130.61206054688 1624.552734375 312.756117 44.260889 0.001659244 2.0 17.6413 6926 B Blue 2458376.56719232 7 2 "[118] IC5070_incl_201_V2492Cyg" 6954
19744354 14.5897 0.0501959212124348 0.00600000005215406 2200.2666015625 1666.64526367188 312.756123 44.260896 0.001047244 3.0 14.9109 1384 I I-Band 2457718.2340191 7 2 "[118] IC5070_incl_201_V2492Cyg" 1287
66896809 14.1435 0.0789242163300514 0.0103000001981854 439.543701171875 93.5488967895508 312.75678 44.260897 0.003198784 0.0 13.0033 5894 I I 2458350.42938657 40 49 "[118] IC5070_incl_201_V2492Cyg" 5637
66736094 15.3521 0.131089642643929 0.0223999992012978 788.565002441406 974.722717285156 312.75625 44.260901 0.003076808 0.0 13.5772 5727 R -SR- 2458347.48271538 33 56 "[118] IC5070_incl_201_V2492Cyg" 5539
135789157 17.7650 0.162439733743668 0.09740000218153 2170.013671875 1584.49694824219 312.755996 44.260902 0.001636736 0.0 17.9530 14245 B Blue 2458727.45764054 7 2 "[118] IC5070_incl_201_V2492Cyg" 13860
67331336 16.1255 0.0950201004743576 0.0509999990463257 657.874328613281 965.261291503906 312.755843 44.260905 0.003176287 0.0 14.5259 6001 V -V- 2458353.4890516 33 56 "[118] IC5070_incl_201_V2492Cyg" 5746
129957898 14.3392 0.0661428272724152 0.0129000004380941 1823.14733886719 1180.53247070312 312.756352 44.260905 0.003280562 0.0 15.1572 13957 I I 2458721.38778935 54 79 "[118] IC5070_incl_201_V2492Cyg" 13678
142389487 15.7885 0.0926952511072159 0.0432999990880489 2156.64233398438 1632.98974609375 312.755841 44.26091 0.002917807 0.0 16.5773 14719 V Visual 2458748.51749421 7 2 "[118] IC5070_incl_201_V2492Cyg" 14314
