id calibrated_magnitude calibrated_error magnitude_rms_error x y alpha_j2000 delta_j2000 fwhm_world flags magnitude observation_id filter original_filter date user_id device_id target fits_id
32891769 16.0424 0.0677623301744461 0.0107000004500151 1594.36926269531 3243.86450195312 312.876569 44.062642 0.001378002 0.0 15.7272 2659 V Visual 2457966.4357147 7 2 "[118] IC5070_incl_201_V2492Cyg" 2412
91865644 16.0328 0.0685325115919113 0.0107000004500151 1594.36926269531 3243.86450195312 312.876569 44.062642 0.001378002 0.0 15.7272 15 V Visual 2457966.4357147 7 2 "[118] IC5070_incl_201_V2492Cyg" 20
67341203 14.7097 0.103290036320686 0.0249000005424023 451.552886962891 1377.72570800781 312.876571 44.062096 0.002167852 0.0 12.8713 6005 R -SR- 2458353.54450191 33 56 "[118] IC5070_incl_201_V2492Cyg" 5750
124696030 17.3722 0.369669318199158 0.0234999991953373 2818.10571289062 1835.99194335938 312.876572 44.062671 0.002054292 0.0 16.1596 13479 B TB 2458698.49051 64 97 "[118] IC5070_incl_201_V2492Cyg" 13115
186714931 15.7625 0.171346142888069 0.0995000004768372 1521.33032226562 811.522399902344 312.876575 44.062582 0.001927931 0.0 17.9772 31557 V TG 2459025.44917 64 97 "[118] IC5070_incl_201_V2492Cyg" 30878
65895883 15.0930 0.111824885010719 0.0157999992370605 73.8444976806641 1319.8681640625 312.876577 44.061915 0.001166624 0.0 14.7048 5338 R -SR- 2458344.46879912 47 64 "[118] IC5070_incl_201_V2492Cyg" 5321
65059427 15.8209 0.0848417952656746 0.0248000007122755 831.910522460938 2809.21044921875 312.876591 44.061951 0.001945967 0.0 16.2533 5040 V -V- 2458329.35088398 33 50 "[118] IC5070_incl_201_V2492Cyg" 4890
21036287 15.9685 0.0701767131686211 0.0120000001043081 2484.09912109375 919.526672363281 312.876592 44.062256 0.0008530258 0.0 15.6202 1474 V Visual 2457726.22175058 7 2 "[118] IC5070_incl_201_V2492Cyg" 1375
79102260 15.1242 0.0445798076689243 0.00630000000819564 1607.89514160156 3235.27685546875 312.876592 44.062014 0.001173775 0.0 14.7730 8111 R Red 2458415.35172862 7 2 "[118] IC5070_incl_201_V2492Cyg" 7940
57708780 15.1631 0.0416984483599663 0.0100999996066093 1670.09436035156 3258.31469726562 312.876594 44.062056 0.0009780769 0.0 15.0459 4462 R Red 2458298.47105903 7 2 "[118] IC5070_incl_201_V2492Cyg" 4266
66875949 15.8517 0.143530279397964 0.0439999997615814 516.437072753906 1353.65222167969 312.876595 44.062028 0.001791895 0.0 14.5267 5878 V -SG- 2458350.35875951 33 56 "[118] IC5070_incl_201_V2492Cyg" 5624
34613840 15.8034 0.0633236095309258 0.0127999996766448 2515.22412109375 869.001098632812 312.876606 44.062325 0.001017199 0.0 15.6321 2840 V Visual 2458002.56102792 7 2 "[118] IC5070_incl_201_V2492Cyg" 2578
33946634 14.1986 0.0342617742717266 0.00540000014007092 1587.26965332031 3241.90112304688 312.876608 44.062707 0.001464876 2.0 14.6181 2788 I I-Band 2457984.40308565 7 2 "[118] IC5070_incl_201_V2492Cyg" 2526
158750384 14.7910 0.172852754592896 0.115099996328354 742.849304199219 113.484802246094 312.876608 44.062208 0.001190042 0.0 17.2538 6650 HA "H ALPHA" 2458356.58739485 41 51 "[118] IC5070_incl_201_V2492Cyg" 6319
190001104 16.0258 0.1919085085392 0.0604000017046928 1687.81005859375 863.020385742188 312.876611 44.062749 0.001632586 0.0 17.9448 31935 V TG 2459042.52393 64 97 "[118] IC5070_incl_201_V2492Cyg" 31219
71292139 15.9479 0.20174603164196 0.0930000022053719 492.484588623047 1372.7568359375 312.876612 44.062025 0.001744387 0.0 15.4642 7118 V -SG- 2458383.37486627 33 56 "[118] IC5070_incl_201_V2492Cyg" 7113
91517447 14.6936 0.124293148517609 0.0498999990522861 2387.77270507812 1372.09448242188 312.876613 44.062436 0.001398892 0.0 14.3223 8345 R Red 2458437.31200231 60 90 "[118] IC5070_incl_201_V2492Cyg" 8169
170819965 15.9264 0.178790673613548 0.109499998390675 1552.79943847656 1002.99487304688 312.876617 44.062711 0.001782583 0.0 18.1629 28596 V TG 2458972.59644 64 124 "[118] IC5070_incl_201_V2492Cyg" 27950
90698806 14.9724 0.0363868214190006 0.00870000012218952 1725.32263183594 3163.98266601562 312.87662 44.062189 0.0009676109 0.0 15.2544 9798 R Red 2458540.70591702 7 2 "[118] IC5070_incl_201_V2492Cyg" 9562
56180388 14.9961 0.0367611572146416 0.00920000020414591 1685.32983398438 3223.65649414062 312.876622 44.062256 0.001076635 0.0 14.9547 4389 R Red 2458278.44586806 7 2 "[118] IC5070_incl_201_V2492Cyg" 4208
